Id_Prov;Provincia;variable;Correlacion H__ALGUNBI_01;Correlacion H__ALGUNBI_02
58;Neuquén;P__10_02;0.8696;0.4016
62;Río Negro;P__10_02;0.8024;0.4852
66;Salta;P__10_02;0.8252;0.6199
82;Santa Fe;P__10_02;0.8405;0.7391
86;Santiago del Estero;P__10_02;0.8654;0.6298
26;Chubut;P__10_02;0.8819;0.5625
22;Chaco;P__10_02;0.8520;0.6935
46;La Rioja;P__10_02;0.8877;0.5748
42;La Pampa;P__10_02;0.8881;0.4789
2;CABA;P__10_02;0.6143;0.4870
6;Buenos Aires;P__10_02;0.8495;0.7207
74;San Luis;P__10_02;0.9054;0.5096
70;San Juan;P__10_02;0.8056;0.6276
90;Tucumán;P__10_02;0.9044;0.6466
94;Tierra del Fuego;P__10_02;0.8392;0.3328
78;Santa Cruz;P__10_02;0.9302;0.5585
10;Catamarca;P__10_02;0.9251;0.6054
38;Jujuy;P__10_02;0.8902;0.5074
14;Córdoba;P__10_02;0.8460;0.5890
54;Misiones;P__10_02;0.8470;0.7101
30;Entre Ríos;P__10_02;0.8948;0.6830
50;Mendoza;P__10_02;0.8272;0.6391
34;Formosa;P__10_02;0.8188;0.6640
18;Corrientes;P__10_02;0.9052;0.7474
