Provincia;variable;Correlacion Sin NBI;Correlacion Al menos un indicador NBI
Neuquén;P__10_02;0.8696;0.4016
Río Negro;P__10_02;0.8024;0.4852
Salta;P__10_02;0.8252;0.6199
Santa Fe;P__10_02;0.8405;0.7391
Santiago del Estero;P__10_02;0.8654;0.6298
Chubut;P__10_02;0.8819;0.5625
Chaco;P__10_02;0.8520;0.6935
La Rioja;P__10_02;0.8877;0.5748
La Pampa;P__10_02;0.8881;0.4789
CABA;P__10_02;0.6143;0.4870
Buenos Aires;P__10_02;0.8495;0.7207
San Luis;P__10_02;0.9054;0.5096
San Juan;P__10_02;0.8056;0.6276
Tucumán;P__10_02;0.9044;0.6466
Tierra del Fuego;P__10_02;0.8392;0.3328
Santa Cruz;P__10_02;0.9302;0.5585
Catamarca;P__10_02;0.9251;0.6054
Jujuy;P__10_02;0.8902;0.5074
Córdoba;P__10_02;0.8460;0.5890
Misiones;P__10_02;0.8470;0.7101
Entre Ríos;P__10_02;0.8948;0.6830
Mendoza;P__10_02;0.8272;0.6391
Formosa;P__10_02;0.8188;0.6640
Corrientes;P__10_02;0.9052;0.7474
