Provincia;variable;Correlacion H__ALGUNBI_01_PORC;Correlacion P__10_02_PORC
Neuquén;H__ALGUNBI_02_PORC;-0.8914;0.0658
Río Negro;H__ALGUNBI_02_PORC;-0.9531;0.3214
Salta;H__ALGUNBI_02_PORC;-0.9724;0.1994
Santa Fe;H__ALGUNBI_02_PORC;-0.8874;0.4677
Santiago del Estero;H__ALGUNBI_02_PORC;-0.9467;0.2002
Chubut;H__ALGUNBI_02_PORC;-0.8777;0.1854
Chaco;H__ALGUNBI_02_PORC;-0.9857;0.2195
La Rioja;H__ALGUNBI_02_PORC;-1.0000;0.2451
La Pampa;H__ALGUNBI_02_PORC;-0.5675;0.1149
CABA;H__ALGUNBI_02_PORC;-0.9850;0.4118
Buenos Aires;H__ALGUNBI_02_PORC;-0.9286;0.3359
San Luis;H__ALGUNBI_02_PORC;-0.9129;0.1325
San Juan;H__ALGUNBI_02_PORC;-1.0000;0.2795
Tucumán;H__ALGUNBI_02_PORC;-0.9007;0.1800
Tierra del Fuego;H__ALGUNBI_02_PORC;-0.8381;0.2541
Santa Cruz;H__ALGUNBI_02_PORC;-1.0000;-0.0541
Catamarca;H__ALGUNBI_02_PORC;-0.8437;0.0018
Jujuy;H__ALGUNBI_02_PORC;-0.8840;0.0520
Córdoba;H__ALGUNBI_02_PORC;-0.9863;0.1482
Misiones;H__ALGUNBI_02_PORC;-0.9338;0.1749
Entre Ríos;H__ALGUNBI_02_PORC;-0.9608;0.2329
Mendoza;H__ALGUNBI_02_PORC;-0.8775;0.3273
Formosa;H__ALGUNBI_02_PORC;-0.9554;0.2923
Corrientes;H__ALGUNBI_02_PORC;-0.8605;0.1647
